,iteration,objective,outcome_rewards
506,506,0.020592533,-29.047825
507,507,0.023440056,-29.806654
508,508,0.025008768,-28.308456
509,509,0.02416333,-29.10971
510,510,0.023846805,-28.159916
511,511,0.0066666454,-28.447891
512,512,0.025305685,-29.113663
513,513,0.022878539,-29.219671
514,514,0.009880198,-28.862741
515,515,0.010531751,-29.303993
516,516,0.016384538,-28.402872
517,517,0.015595128,-29.20656
518,518,0.023209196,-29.32681
519,519,0.020952033,-29.359621
520,520,0.01966361,-29.193943
521,521,0.022685438,-29.276941
522,522,0.022954755,-29.343056
523,523,0.025343671,-29.42342
524,524,0.024201859,-29.28684
525,525,0.0072399704,-29.689785
526,526,0.02367403,-29.853449
527,527,0.019022383,-28.92443
528,528,0.023575678,-29.781372
529,529,0.023163991,-28.548378
530,530,0.025481056,-29.591627
531,531,0.015199787,-28.639338
532,532,0.022802038,-28.65292
533,533,0.021934455,-28.946564
534,534,0.019465107,-29.125935
535,535,0.016629511,-28.96856
536,536,0.018460745,-29.004791
537,537,0.019935861,-28.77428
538,538,0.017257242,-28.234127
539,539,0.019468723,-29.279747
540,540,0.018728655,-28.404785
541,541,0.021462915,-29.06805
542,542,0.019128397,-29.10809
543,543,0.018866023,-27.93085
544,544,0.012711791,-29.080906
545,545,0.02101783,-28.71722
546,546,0.0138557125,-27.683495
547,547,0.019868568,-28.586464
548,548,0.021047924,-28.57634
549,549,0.024551209,-28.971195
550,550,0.023383018,-29.951218
551,551,0.021588966,-28.566717
552,552,0.019925613,-29.120697
553,553,0.02164118,-28.235674
554,554,0.024490718,-28.101456
555,555,0.020894675,-28.662004
556,556,0.023091236,-29.226608
557,557,0.023121316,-28.656853
558,558,0.024987796,-28.46619
559,559,0.02193737,-28.945423
560,560,0.025574889,-28.970871
561,561,0.020366605,-29.704702
562,562,0.018319044,-29.192812
563,563,0.018428605,-29.52303
564,564,0.023026414,-28.353827
565,565,0.025912868,-29.038322
566,566,0.023558348,-27.914322
567,567,0.019376798,-29.10539
568,568,0.021105718,-28.857662
569,569,0.024375234,-29.246086
570,570,0.02358356,-28.891726
571,571,0.020891182,-29.058619
572,572,0.017693534,-29.47652
573,573,0.021996945,-29.237862
574,574,0.02656269,-30.255974
575,575,0.021669611,-29.133139
576,576,0.015389601,-29.572111
577,577,0.022145137,-28.258484
578,578,0.0057122433,-28.803795
579,579,0.017643843,-29.256754
580,580,0.019755486,-28.705914
581,581,0.019489719,-28.713879
582,582,0.016252067,-29.055954
583,583,0.023949105,-29.177578
584,584,0.018615693,-28.47715
585,585,0.021624621,-27.85532
586,586,0.023083352,-28.783245
587,587,0.0050961226,-28.866695
588,588,0.02072878,-28.397213
589,589,0.0174417,-29.182716
590,590,0.017367907,-28.436138
591,591,0.022106212,-27.90099
592,592,0.019895826,-29.357964
593,593,0.022167653,-28.17395
594,594,0.020105364,-29.409447
595,595,0.011385586,-28.563354
596,596,0.022957936,-29.153706
597,597,0.018863928,-27.483643
598,598,0.02218333,-28.825218
599,599,0.019442022,-29.51119
600,600,0.017836597,-28.786945
601,601,0.019482331,-28.997494
602,602,0.021567823,-29.08054
603,603,0.015929434,-29.27603
604,604,0.017761037,-29.81287
605,605,0.024440136,-28.837292
606,606,0.01738549,-28.757288
607,607,0.015443708,-29.611458
608,608,0.021459175,-29.607758
609,609,0.015207545,-29.110672
610,610,0.02570946,-29.019634
611,611,0.021453988,-28.647966
612,612,0.021478757,-28.666807
613,613,0.021913469,-29.45168
614,614,0.021381795,-28.78973
615,615,0.019735442,-28.98039
616,616,0.019671919,-29.56812
617,617,0.024895903,-29.121962
618,618,0.01794577,-28.705334
619,619,0.017370155,-29.50425
620,620,0.021834977,-29.29791
621,621,0.01850434,-29.49502
622,622,0.014324337,-29.338554
623,623,0.023241855,-29.503521
624,624,0.01760551,-30.001091
625,625,0.019277852,-29.785824
626,626,0.013713749,-29.422796
627,627,0.021311972,-28.552303
628,628,0.018963955,-28.72664
629,629,0.016909873,-29.054312
630,630,0.023058467,-29.812843
631,631,0.021000188,-29.601473
632,632,0.019938713,-29.235332
633,633,0.022079095,-28.984177
634,634,0.019214982,-28.31311
635,635,0.018569777,-29.703367
636,636,0.016400428,-28.640615
637,637,0.021052476,-28.156487
638,638,0.02331806,-29.024593
639,639,0.023248617,-28.745535
640,640,0.019123197,-29.034546
641,641,0.01867256,-28.565527
642,642,0.02069822,-28.805058
643,643,0.020136392,-28.69529
644,644,0.017927742,-28.993788
645,645,0.020767668,-29.559525
646,646,0.017132843,-29.079857
647,647,0.00025867578,-29.047821
648,648,0.020509407,-28.303411
649,649,0.02545388,-29.31552
650,650,0.023305157,-28.620079
651,651,0.021818578,-28.161211
652,652,0.021331394,-29.507523
653,653,0.018629106,-29.288353
654,654,0.017696276,-29.69925
655,655,0.016551033,-27.617016
656,656,0.02075251,-29.360725
657,657,0.019512901,-29.143105
658,658,0.025334073,-28.723284
659,659,0.015965562,-28.9094
660,660,0.023839856,-29.30917
661,661,0.023482919,-29.109585
662,662,0.025148243,-29.100573
663,663,0.02206553,-29.094862
664,664,0.019780103,-28.011978
665,665,0.012372861,-28.618244
666,666,0.020103168,-28.507776
667,667,0.022975627,-29.237175
668,668,0.022379447,-29.091982
669,669,0.019761505,-29.418457
670,670,0.0068703303,-28.649004
671,671,0.013025895,-28.925446
672,672,0.022864528,-29.634514
673,673,0.016559942,-29.109863
674,674,0.01983496,-28.94197
675,675,0.019396886,-28.423689
676,676,0.016766109,-29.680939
677,677,0.019043814,-28.606686
678,678,0.02449894,-29.159931
679,679,0.021406334,-28.678844
680,680,0.02100801,-28.646687
681,681,0.016560733,-28.582594
682,682,0.019637994,-28.893776
683,683,0.017822782,-29.018078
684,684,0.021793436,-29.382145
685,685,0.02258315,-29.11058
686,686,0.008470838,-29.702236
687,687,0.021398954,-29.292133
688,688,0.012814244,-28.056648
689,689,0.023829252,-28.923895
690,690,0.008780143,-28.344326
691,691,0.005788577,-29.19189
692,692,0.022500172,-28.829214
693,693,0.021095127,-28.706724
694,694,0.020265669,-29.595562
695,695,0.0054458366,-27.878077
696,696,0.018226549,-29.282057
697,697,0.024845924,-28.992535
698,698,0.024461264,-28.579294
699,699,0.017749324,-28.285095
700,700,0.015198852,-28.907108
701,701,0.02475726,-29.508152
702,702,0.00794883,-29.57382
703,703,0.020925859,-28.605341
704,704,0.020133529,-29.25011
705,705,0.022326905,-29.084854
706,706,0.011825786,-29.553566
707,707,0.020860512,-28.913095
708,708,0.025071226,-28.980894
709,709,0.017998466,-28.584436
710,710,0.023747388,-28.926525
711,711,0.020921823,-29.026491
712,712,0.015484441,-30.122856
713,713,0.021397643,-29.006096
714,714,0.01976678,-28.675583
715,715,0.014646942,-28.8214
716,716,0.018727992,-29.536734
717,717,0.019595213,-28.210545
718,718,0.017208718,-28.843529
719,719,0.019378714,-28.751717
720,720,0.017590743,-29.876072
721,721,0.01120088,-28.902946
722,722,0.02079656,-29.160437
723,723,0.02026867,-29.09943
724,724,0.02080879,-28.767967
725,725,0.016709551,-28.624016
726,726,0.022690564,-27.97015
727,727,0.020473968,-28.764236
728,728,0.025418628,-29.411674
729,729,0.021553446,-29.535393
730,730,0.02307017,-30.060646
731,731,0.018187165,-29.835815
732,732,0.020781592,-28.895864
733,733,0.021437615,-30.246387
734,734,0.017081503,-28.03495
735,735,0.024299463,-29.14137
736,736,0.017574105,-28.721003
737,737,0.019552385,-29.072624
738,738,0.021427952,-29.884264
739,739,0.023410128,-29.648708
740,740,0.020942982,-29.028187
741,741,0.024958735,-29.002892
742,742,0.017093983,-28.194958
743,743,0.027802646,-28.875721
744,744,0.020209014,-27.843996
745,745,0.019350108,-29.11853
746,746,0.018786006,-29.853077
747,747,0.018013246,-28.758778
748,748,0.013722687,-28.229183
749,749,0.008556377,-28.574272
750,750,0.02028248,-29.400425
751,751,0.02043005,-29.011387
752,752,0.021404788,-28.842794
753,753,0.021474121,-29.04062
754,754,0.021652568,-28.986013
755,755,0.018641608,-29.191301
756,756,0.023432167,-29.013882
757,757,0.025600653,-29.544083
758,758,0.011552937,-29.337078
759,759,0.015838865,-27.864922
760,760,0.014207428,-28.567
761,761,0.023216559,-29.49378
762,762,0.015126504,-28.83407
